gmid,VOV,IDOverW,gmOvergds,CDSOverCGS,CmOverID,VOX,IDOverg,gmOvergos,CGDOverCGS
26.013529089415037,-0.7694067422144049,6.217519308666667e-07,20.713106765118674,0.6207898888764336,26.013529089415037,-0.7694067422144049,6.217519308666667e-07,20.713106765118674,0.6207898888764336
26.007119395398583,-0.6694067422500001,8.380309000000001e-06,21.85330200906933,0.6593298122348878,26.007119395398583,-0.6694067422500001,8.380309000000001e-06,21.85330200906933,0.6593298122348878
25.983907984929516,-0.5694067453,0.00011280708633333334,23.1133735540538,0.661053467408779,25.983907984929516,-0.5694067453,0.00011280708633333334,23.1133735540538,0.661053467408779
25.899595307690745,-0.46940678390000007,0.0015113118106666666,24.474489060143185,0.6378816696873221,25.899595307690745,-0.46940678390000007,0.0015113118106666666,24.474489060143185,0.6378816696873221
25.598708449051863,-0.3694072929,0.019904540380000002,25.792603330866914,0.603938140950888,25.598708449051863,-0.3694072929,0.019904540380000002,25.792603330866914,0.603938140950888
24.596515886133272,-0.26941357909999997,0.24712820713333333,26.483265907488118,0.5696498957023541,24.596515886133272,-0.26941357909999997,0.24712820713333333,26.483265907488118,0.5696498957023541
21.89622276817659,-0.16947782349999996,2.569313628,25.18258562237372,0.5418171768249764,21.89622276817659,-0.16947782349999996,2.569313628,25.18258562237372,0.5418171768249764
17.28929767909287,-0.06991147790000007,18.245039653333336,21.829733368891116,0.5224819641851945,17.28929767909287,-0.06991147790000007,18.245039653333336,21.829733368891116,0.5224819641851945
12.489440805576747,0.028422863399999998,78.46837553333334,19.203227179882305,0.5099522562801462,12.489440805576747,0.028422863399999998,78.46837553333334,19.203227179882305,0.5099522562801462
8.531606849986959,0.12469302039999997,213.3622048,17.196922582570792,0.5016584431775324,8.531606849986959,0.12469302039999997,213.3622048,17.196922582570792,0.5016584431775324
5.856698326107003,0.21911093460000008,415.3216254666667,15.146535101307302,0.4957389181762,5.856698326107003,0.21911093460000008,415.3216254666667,15.146535101307302,0.4957389181762
4.241527096166458,0.31238729340000004,658.7527400666667,13.37178250909605,0.49115819078925993,4.241527096166458,0.31238729340000004,658.7527400666667,13.37178250909605,0.49115819078925993
3.2519801946974103,0.40501427200000006,925.9105526666667,11.941628443056963,0.48737041519304325,3.2519801946974103,0.40501427200000006,925.9105526666667,11.941628443056963,0.48737041519304325
2.6069799357852426,0.4972558707999999,1207.267248,10.75660647354658,0.4840701049698142,2.6069799357852426,0.4972558707999999,1207.267248,10.75660647354658,0.4840701049698142
2.1593474715849084,0.589263783,1497.3458586666668,9.727357857217434,0.48106257766496097,2.1593474715849084,0.589263783,1497.3458586666668,9.727357857217434,0.48106257766496097
1.832409270047627,0.6811362499,1792.5945153333334,8.800888633876156,0.47819233061455535,1.832409270047627,0.6811362499,1792.5945153333334,8.800888633876156,0.47819233061455535
1.5839464755013666,0.7729422951,2090.5121740000004,7.948345396292731,0.4752897695788178,1.5839464755013666,0.7729422951,2090.5121740000004,7.948345396292731,0.4752897695788178
1.3891273021200012,0.8647329732000001,2389.2431746666666,7.153712808743753,0.47210876081970776,1.3891273021200012,0.8647329732000001,2389.2431746666666,7.153712808743753,0.47210876081970776
1.2324464195448819,0.9565477348,2687.348456,6.407603544273485,0.4682250560868945,1.2324464195448819,0.9565477348,2687.348456,6.407603544273485,0.4682250560868945
